trip_id,date,driver_id,origin,dest,o_lat,o_lon,d_lat,d_lon,distance_km,load_ton,traffic_index,elevation_gain_m,avg_speed_kmh,duration_h,fuel_liters
T1,2025-01-01,D003,Trujillo,Cusco,-8.02458,-79.00808,-13.51579,-71.97008,981.51,10.4,0.99,0,29.0,31.31,270.1
T2,2025-01-01,D033,Lima,Puno,-11.96298,-77.08877,-15.73878,-70.01008,871.79,8.3,0.07,145,75.8,12.0,224.5
T3,2025-01-01,D039,Arequipa,Tacna,-16.47169,-71.56939,-17.96124,-70.31773,212.38,10.9,0.28,236,26.3,8.64,61.1
T4,2025-01-01,D031,Trujillo,Ica,-8.14649,-78.90724,-14.13107,-75.72991,750.25,1.0,0.64,361,47.1,15.83,177.2
T5,2025-01-01,D021,Lima,Cusco,-11.97469,-77.0474,-13.55791,-72.0524,569.55,18.1,0.6,220,31.0,18.52,203.8
T6,2025-01-01,D031,Tacna,Arequipa,-18.03199,-70.24005,-16.41888,-71.5739,228.56,7.1,0.28,339,57.2,4.75,78.9
T7,2025-01-01,D017,Puno,Lima,-15.93093,-70.01892,-12.06628,-77.0294,869.76,19.1,0.51,150,37.6,24.48,274.6
T8,2025-01-01,D013,Chiclayo,Puno,-6.73387,-79.73684,-15.75001,-70.0409,1456.24,17.5,0.34,625,37.6,48.51,417.1
T9,2025-01-01,D011,Trujillo,Puno,-8.06734,-79.05705,-15.7463,-69.99051,1304.01,14.4,0.56,138,47.5,31.06,462.6
T10,2025-01-01,D034,Cusco,Tacna,-13.65142,-72.00088,-18.05363,-70.19976,526.03,12.4,0.83,370,58.3,8.7,155.2
T11,2025-01-01,D024,Arequipa,Trujillo,-16.3568,-71.56159,-8.13977,-78.99365,1218.9,21.2,0.05,0,53.8,27.77,386.6
T12,2025-01-01,D035,Puno,Arequipa,-15.86343,-70.05972,-16.39292,-71.49945,164.67,14.6,0.36,751,67.9,2.73,68.3
T13,2025-01-01,D036,Arequipa,Chiclayo,-16.43595,-71.48542,-6.76668,-79.83285,1407.28,24.3,0.61,228,37.4,35.69,486.6
T14,2025-01-01,D025,Tacna,Arequipa,-18.10522,-70.20925,-16.40457,-71.60517,240.27,15.0,0.3,664,53.8,5.16,90.9
T15,2025-01-01,D039,Arequipa,Lima,-16.33123,-71.57926,-12.0401,-77.07445,760.53,12.6,0.91,242,46.7,16.77,242.4
T16,2025-01-01,D018,Chiclayo,Tacna,-6.7717,-79.7758,-18.06313,-70.16349,1631.51,20.8,0.56,711,48.7,32.45,401.9
T17,2025-01-01,D038,Tacna,Arequipa,-18.08094,-70.19594,-16.34228,-71.53927,240.28,7.5,0.48,112,33.8,8.71,67.6
T18,2025-01-01,D034,Chiclayo,Lima,-6.8303,-79.82795,-12.06381,-77.08182,655.22,11.0,0.52,0,29.9,20.61,188.1
T19,2025-01-01,D033,Cusco,Arequipa,-13.56536,-71.88689,-16.3642,-71.51902,313.72,5.9,0.5,0,44.5,7.2,93.4
T20,2025-01-01,D037,Lima,Puno,-12.06448,-77.10467,-15.834,-70.10192,864.0,18.0,0.44,317,54.5,14.57,240.9
T21,2025-01-01,D013,Cusco,Lima,-13.48028,-71.97722,-12.0167,-77.05276,573.99,14.3,0.57,362,38.9,15.44,189.8
T22,2025-01-01,D008,Arequipa,Chiclayo,-16.42495,-71.54786,-6.77762,-79.84498,1401.89,12.0,0.42,491,37.0,47.57,431.5
T23,2025-01-01,D007,Puno,Lima,-15.84627,-70.05108,-11.99689,-77.06049,869.04,17.1,0.57,604,52.8,17.39,220.8
T24,2025-01-01,D021,Lima,Trujillo,-12.11272,-77.04691,-8.15923,-79.09545,493.47,19.9,0.49,545,44.1,11.92,135.1
T25,2025-01-01,D030,Cusco,Chiclayo,-13.53632,-71.94126,-6.7955,-79.85696,1145.17,5.7,0.39,350,44.2,25.32,336.5
T26,2025-01-01,D005,Trujillo,Arequipa,-8.21049,-79.02075,-16.44858,-71.47718,1228.52,26.4,0.39,357,52.3,25.33,316.2
T27,2025-01-01,D027,Trujillo,Ica,-8.0364,-79.03781,-14.10481,-75.78663,762.28,13.1,0.59,482,58.7,15.9,220.0
T28,2025-01-01,D039,Lima,Chiclayo,-12.11819,-77.05523,-6.80488,-79.84158,665.12,17.5,0.3,0,50.3,13.05,166.1
T29,2025-01-01,D007,Lima,Arequipa,-12.0312,-77.05053,-16.37938,-71.55092,764.85,1.0,0.3,400,52.6,16.66,160.0
T30,2025-01-01,D030,Arequipa,Puno,-16.34079,-71.54847,-15.81262,-70.02971,172.57,1.0,0.75,448,55.0,3.64,70.1
T31,2025-01-01,D040,Arequipa,Cusco,-16.44109,-71.51695,-13.55111,-71.9648,324.93,11.8,0.41,387,50.3,6.07,97.0
T32,2025-01-01,D038,Lima,Chiclayo,-12.03688,-77.03343,-6.86043,-79.8563,653.54,21.3,0.61,341,47.1,14.56,233.1
T33,2025-01-01,D023,Lima,Trujillo,-12.10701,-77.00826,-8.13546,-79.0104,492.99,15.0,0.22,497,45.5,14.07,128.4
T34,2025-01-01,D029,Lima,Ica,-12.09054,-77.08143,-14.03056,-75.71603,261.55,6.4,0.72,590,44.6,6.34,89.7
T35,2025-01-01,D040,Lima,Ica,-12.02543,-76.92368,-14.06709,-75.76257,259.53,6.3,0.79,108,29.2,8.67,112.5
T36,2025-01-01,D008,Puno,Chiclayo,-15.74561,-70.15997,-6.77792,-79.81471,1449.23,10.0,0.85,320,32.6,50.65,337.9
T37,2025-01-01,D006,Ica,Lima,-14.01316,-75.77103,-12.03727,-77.0985,262.59,18.3,0.3,81,74.9,3.64,99.3
T38,2025-01-01,D003,Chiclayo,Trujillo,-6.75882,-79.91264,-8.15212,-79.01272,183.98,8.1,0.49,450,40.6,5.11,74.5
T39,2025-01-01,D016,Ica,Chiclayo,-14.08964,-75.71421,-6.79244,-79.82084,927.23,1.0,0.67,485,33.9,30.31,279.9
T40,2025-01-01,D002,Arequipa,Trujillo,-16.4052,-71.57314,-8.06708,-78.97269,1226.72,12.2,0.73,218,59.6,21.28,360.1
T41,2025-01-01,D030,Chiclayo,Ica,-6.72411,-79.81025,-14.03412,-75.65398,931.15,19.9,0.75,305,39.2,25.79,261.4
T42,2025-01-01,D033,Trujillo,Tacna,-8.07395,-79.02483,-18.05911,-70.14817,1467.79,6.8,0.39,311,51.4,32.88,432.6
T43,2025-01-01,D019,Chiclayo,Trujillo,-6.70937,-79.87606,-8.0731,-78.93135,183.97,2.5,0.59,426,41.6,4.2,59.3
T44,2025-01-01,D006,Ica,Puno,-13.99753,-75.74187,-15.79372,-69.95886,652.69,22.7,0.25,166,37.9,17.93,200.5
T45,2025-01-01,D003,Cusco,Tacna,-13.45255,-72.0672,-18.07181,-70.31609,546.73,8.4,0.36,104,49.9,13.15,152.5
T46,2025-01-01,D026,Lima,Puno,-11.99892,-77.14891,-15.87651,-70.05142,878.81,9.2,0.39,403,58.3,18.19,207.9
T47,2025-01-01,D039,Chiclayo,Lima,-6.82304,-79.79156,-12.09657,-76.93755,664.66,11.0,0.79,228,40.3,18.6,217.8
T48,2025-01-01,D035,Trujillo,Cusco,-8.0797,-78.96173,-13.56093,-71.90846,982.02,10.4,0.49,97,33.1,37.88,265.0
T49,2025-01-01,D032,Chiclayo,Lima,-6.77488,-79.84568,-12.05249,-77.13094,658.03,21.3,0.33,572,52.7,15.96,233.5
T50,2025-01-01,D025,Ica,Arequipa,-14.05064,-75.76928,-16.46642,-71.48345,532.44,17.0,0.42,61,62.5,9.93,196.1
T51,2025-01-01,D008,Lima,Chiclayo,-12.06952,-77.03667,-6.8214,-79.81062,658.07,12.4,0.39,381,55.1,14.15,198.3
T52,2025-01-01,D021,Cusco,Puno,-13.56818,-71.98372,-15.84855,-69.92541,336.59,13.5,0.31,0,63.5,6.35,110.7
T53,2025-01-01,D013,Cusco,Arequipa,-13.45371,-71.96056,-16.40766,-71.41761,333.6,23.6,0.64,535,48.1,7.31,124.7
T54,2025-01-02,D023,Ica,Trujillo,-14.02709,-75.67157,-8.15091,-79.01514,748.28,9.0,0.79,375,63.7,13.17,188.8
T55,2025-01-02,D019,Ica,Chiclayo,-14.04881,-75.84539,-6.79503,-79.83948,917.11,13.1,0.5,554,45.0,19.69,204.6
T56,2025-01-02,D040,Tacna,Puno,-17.97193,-70.29717,-15.8384,-70.02934,238.94,8.9,0.43,366,36.2,6.49,78.8
T57,2025-01-02,D039,Puno,Chiclayo,-15.92602,-69.96571,-6.74096,-79.84445,1483.32,17.8,1.0,416,48.2,38.07,295.2
T58,2025-01-02,D012,Puno,Tacna,-15.7629,-70.02513,-18.00435,-70.24889,250.37,10.9,0.45,497,47.2,6.0,106.1
T59,2025-01-02,D001,Chiclayo,Trujillo,-6.79338,-79.78649,-8.06711,-79.08711,161.26,13.7,0.4,495,50.4,3.52,74.1
T60,2025-01-02,D015,Chiclayo,Ica,-6.77933,-79.81185,-13.97897,-75.65275,920.62,22.0,0.09,0,66.5,14.02,233.5
T61,2025-01-02,D009,Ica,Chiclayo,-14.0068,-75.74942,-6.76949,-79.80948,918.98,1.0,0.91,518,45.4,18.59,277.7
T62,2025-01-02,D032,Ica,Puno,-14.03995,-75.67309,-15.87012,-69.99629,642.86,20.6,0.7,344,36.6,18.47,198.7
T63,2025-01-02,D009,Chiclayo,Trujillo,-6.71888,-79.85395,-8.13216,-79.07278,179.21,12.4,0.56,514,51.5,4.42,78.8
T64,2025-01-02,D030,Puno,Cusco,-15.79295,-70.0324,-13.51686,-72.00852,330.51,7.0,0.58,338,57.2,5.76,109.2
T65,2025-01-02,D023,Puno,Ica,-15.83733,-69.96739,-14.00984,-75.77639,656.34,5.7,0.21,446,48.6,14.07,171.4
T66,2025-01-02,D030,Cusco,Tacna,-13.47902,-72.02731,-18.03412,-70.19091,543.27,4.5,0.43,417,57.7,11.89,153.2
T67,2025-01-02,D032,Ica,Chiclayo,-14.09056,-75.63105,-6.80204,-79.75779,927.45,17.7,0.51,0,43.4,23.84,290.7
T68,2025-01-02,D033,Lima,Cusco,-12.08106,-77.13706,-13.62944,-71.98712,584.21,19.4,0.52,534,41.8,17.16,170.6
T69,2025-01-02,D027,Puno,Tacna,-15.73243,-70.0205,-17.97877,-70.21716,250.66,32.6,0.61,58,67.4,3.85,152.9
T70,2025-01-02,D004,Chiclayo,Ica,-6.82497,-79.84472,-14.11085,-75.72557,926.77,6.5,0.59,53,57.0,16.88,218.4
T71,2025-01-02,D039,Lima,Ica,-12.0469,-77.08508,-14.02223,-75.79732,260.2,7.6,0.5,269,29.9,10.09,79.0
T72,2025-01-02,D007,Arequipa,Chiclayo,-16.40059,-71.57286,-6.77981,-79.88096,1400.43,1.0,0.62,0,49.1,32.15,369.3
T73,2025-01-02,D020,Trujillo,Chiclayo,-8.1288,-78.98496,-6.77613,-79.87678,179.7,7.9,0.26,759,63.0,3.17,57.0
T74,2025-01-02,D028,Puno,Cusco,-15.86183,-70.08313,-13.48147,-71.99162,334.96,20.6,0.39,8,60.7,6.35,123.3
